	model	condition	pairid	expected	unexpected	diff	acc
0	gpt2	plu	5	5.3272766202688215	8.359457612037659	-3.032180991768837	True
1	gpt2	plu	6	7.806691291928291	11.71322073340416	-3.906529441475869	True
6	gpt2	sing	1	5.3158087730407715	8.379683017730713	-3.0638742446899414	True
7	gpt2	sing	2	9.143265724182129	8.987967729568481	0.15529799461364746	False
8	gpt2	sing	3	3.907684564590454	7.351422071456909	-3.443737506866455	True
9	gpt2	sing	4	8.002195119857788	8.077937364578247	-0.07574224472045898	True
